run,algorithm,setting,reserve,enabled,env_seed,pnl,objective,opening_inventory,final_inventory,auction_quantity,cancellation_fees,cancels
sac_verified_history,sac,historical_sp500_midquotes,0,True,1387055752,4.149332923033129,4.10856536656133,0.2393244815435053,2.0190977309629856,-1.7797732494194871,0.0209999999999999,6
sac_verified_history,sac,historical_sp500_midquotes,0,True,1027367132,-33.99769633465985,-33.99864763163546,0.9517317870267163,0.3084310256134351,0.6433007614132785,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,1111389845,-2.046359665069758,-2.058027484055231,0.044823209587264,-1.0801767904131636,1.1250000000004334,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,180210118,-1.984551939556084,-1.992809815804604,0.5712714239943892,-0.9087285760071496,1.4800000000015352,0.003,2
sac_verified_history,sac,historical_sp500_midquotes,0,True,1769597788,2.799204486735107,2.746656273320621,0.4724152499812106,2.292339708997913,-1.8199244590166896,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,1541083806,-1.559149811707044,-2.0233213153538254,0.8305133101802369,6.813013310179141,-5.98249999999889,0.006,3
sac_verified_history,sac,historical_sp500_midquotes,0,True,2073530583,1.166612046868977,1.0678829103829208,0.1802661867262713,-3.1421192925485206,3.322385479274817,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,583456263,-25.78511905205394,-26.16607984764821,0.4072021644974768,6.172202164497414,-5.7649999999999295,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,269688897,2.3720501466668793,2.3580579507078068,0.3696138702702711,-1.1828861297298436,1.5525000000001334,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,977455710,2.281817923176277,2.2701960488914392,0.5230479713274576,1.0780479713277078,-0.5550000000002271,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,2018195485,-0.8216447550035955,-0.8221794452472337,0.3803053004447037,-0.2312337007527901,0.6115390011974827,0.091,13
sac_verified_history,sac,historical_sp500_midquotes,0,True,1266812912,-3.643307201871518,-3.6575869311928098,0.2225217859187722,-1.1949782140814151,1.417500000000171,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,1737039599,0.0293968969781417,-0.0540751450191435,0.42347056391975,-2.8891528515688703,3.3126234154886203,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,476600210,6.090280004076907,5.997392224885023,0.5702496483779527,3.04774964837803,-2.477500000000063,0.001,1
sac_verified_history,sac,historical_sp500_midquotes,0,True,392787174,-3.1025500236843655,-3.105870364093389,0.6505372618581902,0.5762239503026214,0.0743133115555297,0.314,14
sac_verified_history,sac,historical_sp500_midquotes,0,True,369185566,6.820258019172921,6.33378748550157,0.14224396427106,6.974743964271029,-6.832499999999939,0.014,4
sac_verified_history,sac,historical_sp500_midquotes,0,True,1749636134,5.246901843132946,5.169326706884021,0.802731341360257,2.7852313413597205,-1.982499999999476,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,510732936,4.823038023714835,4.801885309655873,0.5869885972172852,-1.4543972655007904,2.0413858627180863,0.01,4
sac_verified_history,sac,historical_sp500_midquotes,0,True,569417501,3.750984923739452,3.4909341306787263,0.9594191026224764,-5.099517556207899,6.058936658830355,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,1908420144,-2.6493072964907043,-2.7328041254239093,0.0476181228421239,-2.8895817851932284,2.937199908035356,0.003,2
sac_verified_history,sac,historical_sp500_midquotes,0,True,2034989486,6.655207427802452,6.334452484744726,0.8702062246227911,5.663523135449579,-4.7933169108268165,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,564294971,8.376989385442357,7.0239891383814435,0.0618538808771518,11.631853880877776,-11.570000000000643,0.0,0
sac_verified_history,sac,historical_sp500_midquotes,0,True,1129817345,7.157621829234544,6.850020487841592,0.4752716180285716,5.546181942498388,-5.070910324469814,0.0209999999999999,6
sac_verified_history,sac,historical_sp500_midquotes,0,True,1190000565,2.6432056194717006,2.6166365989318416,0.2175006300571738,1.6300006300568972,-1.41249999999971,0.0,0
