run,algorithm,seed,setting,symbol,episodes,flow,n_step,layer_norm,safe_initialization,grad_clip,initial_validation,final_validation,status,max_loss_clob,max_loss_auction,selected_episode,selected_validation,pnl,objective,auction_value,auction_value_se,open_abs_inventory,final_abs_inventory,risk_relief,as_objective,gap_as,twap_objective,gap_twap
dqn_liquidity_sync829,dqn,829,synthetic_rough_heston,,200,0.25,1,True,False,1.0,-20.70709276875147,-0.3510439255812184,completed,29.63065719604492,0.4375668928027153,200.0,-0.3510439255812184,-0.7441455260155494,-3.6378235505136685,3.3782597091917763,0.41733841756049717,19.574195603627786,12.17637764857109,3.1475875571314584,-32.751938055720046,29.11411450520638,-37.61333690170413,33.975513351190465
dqn_normalized_msft823,dqn,823,historical_sp500_midquotes,MSFT,180,1.0,1,True,False,1.0,-32.41981739319154,5.554086248074333,completed,6.783630159166124,0.8497632741928101,180.0,5.554086248074333,3.5643570925613104,3.330282134181601,0.17249881726261984,0.059738456918945505,1.5378803226653777,3.3290828905093504,-0.07585836905639373,0.03513233037298008,3.295149803808621,-0.767103654753218,4.097385788934819
dqn_normalized_syn821,dqn,821,synthetic_rough_heston,,180,1.0,1,True,False,1.0,0.204883603486025,7.302919475181452,completed,9.828567233681678,0.3683629402269919,150.0,8.627928514157027,6.031394964714706,5.388539530359948,-0.08150721158006043,0.046012990343347694,1.9354275083102173,2.6910780734171027,-0.03878350578250272,5.956493037724101,-0.5679535073641534,-1.1460575421215504,6.534597072481498
dqn_normalized_syn827,dqn,827,synthetic_rough_heston,,180,1.0,1,True,False,1.0,5.011166560603325,5.633483664716572,completed,5.490787263502154,0.8795225024223328,120.0,5.757513286280553,8.222505482426403,7.730327132230176,0.09391575534883034,0.07758434720250114,1.8944996605717999,3.8267275932735565,-0.13980643178759417,8.463212036625773,-0.7328849043955981,0.23138008191105697,7.498947050319118
dqn_pooled_msft823,dqn,823,historical_sp500_midquotes,MSFT,180,1.0,1,True,False,1.0,-42.837393294525064,5.76374341717569,completed,5.340507136450873,2.1657543182373047,180.0,5.76374341717569,3.4826546421386864,3.339610158070796,0.06151002719079955,0.11997506350629955,0.8694331607082083,2.1215338853824557,-0.09746330102748398,0.03513233037298008,3.3044778276978164,-0.767103654753218,4.106713812824015
dqn_safe853,dqn,853,synthetic_rough_heston,,200,0.5,3,True,True,1.0,0.8848518173019678,1.0477109702872691,completed,67.62307781126441,12.201987845557076,104.0,1.5283427900136846,2.1551378178845915,1.4448248640154246,-0.4389667652391794,0.12826892973388496,2.994380805361308,3.5910438715208812,-0.18453319352403727,2.525268655861028,-1.0804437918456031,-3.652468153892247,5.097293017907671
dqn_safe863,dqn,863,synthetic_rough_heston,,200,0.5,3,True,True,1.0,-27.777082207299195,4.57070163584914,completed,39.806824366251625,1.177851910037654,200.0,4.57070163584914,4.087362513697978,1.500722213764322,0.1645167811669951,0.09978014034901485,10.312127085399084,10.995892770970443,0.10748677387031168,0.32858890428432125,1.172133309480001,-6.596272803049956,8.096995016814278
dqn_safe_msft857,dqn,857,historical_sp500_midquotes,MSFT,200,0.5,3,True,True,1.0,-52.81630273144704,0.8134919951521874,completed,32.57423124005717,2.3808742985129356,200.0,0.8134919951521874,-3.123516106981527,-3.8028299734233917,-0.06079378369747246,0.04094482179152899,7.3634921246941625,6.530487789968067,0.13435596525427784,-1.973867362938108,-1.8289626104852839,-6.548426905336543,2.74559693191315
first_mature_dqn853,dqn,853,synthetic_rough_heston,,200,0.5,3,True,False,1.0,-4.09689459518043,-0.17917565148549175,completed,67.34746728292326,10.7306336079325,104.0,1.322365594467986,2.05373977321691,1.1286226287663956,-0.46562139455250173,0.17283358052042036,3.6628417724257503,4.119550408529895,-0.24991654773642616,2.525268655861028,-1.3966460270946321,-3.652468153892247,4.781090782658643
first_mature_dqn863,dqn,863,synthetic_rough_heston,,200,0.5,3,True,False,1.0,-29.315424713218253,5.023627611159948,completed,39.88122164408366,1.2289880450282775,150.0,5.2708905396067784,4.055338167502254,1.535042101069238,1.6848577941530851,0.27573136222378125,14.747655959532846,10.977069522341417,1.769955073643813,0.32858890428432125,1.206453196784917,-6.596272803049956,8.131314904119193
sac_half839,sac,839,synthetic_rough_heston,,200,0.5,1,False,False,1.0,2.125952766625587,2.520434662379817,completed,7.005631543695927,0.5601815613607566,200.0,2.520434662379817,4.968751162808694,3.1890232945419585,1.038490567739117,0.24557325716250622,8.612247727931493,7.24113530696755,1.0735268636389674,3.853374616769435,-0.664351322227476,-4.3551729928336655,7.544196287375625
sac_liquidity829,sac,829,synthetic_rough_heston,,200,0.25,1,False,False,1.0,-28.12943095539387,-0.6611010668968843,no_mature_checkpoint,20.012511587142946,1.7570977369944254,,,,,,,,,,,,,
sac_liquidity_sync829,sac,829,synthetic_rough_heston,,200,0.25,1,False,False,1.0,-28.12943095539387,-0.3966561987795088,completed,32.065397089177914,0.8557554165522258,160.0,-0.15306620127927997,0.0062575572477481245,-2.2262654292599677,4.469704561658537,0.43653825084662196,21.357346935018604,11.495101311237752,4.3030493555517,-32.751938055720046,30.52567262646008,-37.61333690170413,35.38707147244416
td3_half839,td3,839,synthetic_rough_heston,,200,0.5,1,False,False,1.0,2.254603525792387,3.7375701100312524,completed,13.902513992495653,1.3060365001360574,160.0,4.139523520125422,6.4510351265047206,5.161026406079314,0.40275226520131174,0.35756082497276664,5.375859399294725,6.323049423951457,0.012501977059865652,3.853374616769435,1.3076517893098787,-4.3551729928336655,9.516199398912978
td3_liquidity829,td3,829,synthetic_rough_heston,,200,0.25,1,False,False,1.0,-20.981917289362155,-0.4788482732010495,no_mature_checkpoint,32.77198553085327,4.323402567704519,,,,,,,,,,,,,
td3_liquidity_sync829,td3,829,synthetic_rough_heston,,200,0.25,1,False,False,1.0,-20.981917289362155,0.3563459880543413,completed,65.24604294516824,1.4157164365053176,160.0,0.766427525043469,0.0859960732712825,-1.6845164371303671,3.948675109692758,0.3591810344989958,19.603106661684247,9.861325792765857,4.102272266033969,-32.751938055720046,31.06742161858968,-37.61333690170413,35.92882046457376
