run,setting,market,algorithm,seed,episodes,selected_episode,initial,selected,last,selected_gain,last_gain,selected_to_last,clob_max_loss,auction_max_loss,clob_last_loss,auction_last_loss
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed2024,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,2024,350,150,-0.5745064702974196,1.3998373965188238,0.5709392217124607,1.9743438668162434,1.1454456920098803,0.8288981748063631,10.030984743221389,0.7256360838810602,2.03041906399836,0.2395960870211323
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed2718,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,2718,800,650,3.667242744805108,4.541691019402908,4.415973355763459,0.8744482745977997,0.7487306109583507,0.12571766363944903,7.447392541308736,0.3130452333639065,5.0523083091864445,0.032090492411827
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed314,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,314,800,800,7.151830350120332,9.424747004897203,9.424747004897203,2.2729166547768704,2.2729166547768704,0.0,8.51949583965799,0.7080167620132367,3.4819859080840825,0.21661567020167902
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed42,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,42,800,650,-0.3929192765537506,1.7316849823666949,1.7279409238978856,2.1246042589204457,2.120860200451636,0.0037440584688093193,8.98652172088623,2.286534176270167,3.637302134296592,0.31926031046609077
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed577,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,577,800,600,6.361790449504934,9.903191471732509,9.778250473156191,3.541401022227575,3.4164600236512577,0.12494099857631724,11.088045988327416,2.5802206605672837,2.257031757880831,0.2740293712814649
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed7,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,7,450,250,1.8039362707524655,3.691499446386512,3.456220890887332,1.8875631756340465,1.6522846201348664,0.2352785554991801,8.506972767585932,0.3038023855537176,2.7043999252331536,0.12042056018362438
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed811,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,811,600,400,1.2494910254645246,1.8274874332491597,1.7180941817252773,0.5779964077846351,0.46860315626075266,0.10939325152388246,6.913339370634498,0.579122531414032,3.2486293567580744,0.3014110332081714
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/ddpg__mechanism_economic_dense_seed99,synthetic_rough_heston__mechanism_economic_dense,Synthetic,ddpg,99,500,300,1.1514858628168598,4.66817461252849,4.585897310298952,3.51668874971163,3.434411447482092,0.08227730222953777,13.224789492289226,1.8023008753856025,1.8566550272562694,0.2742518090978264
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/dqn__mechanism_economic_dense_seed123,synthetic_rough_heston__mechanism_economic_dense,Synthetic,dqn,123,350,150,-2.9755376856006723,8.173533279518916,5.158497463114937,11.149070965119588,8.13403514871561,3.0150358164039783,9.906382246450946,1.6450742448369662,2.8098284734042016,0.6171984820365906
/Users/juliusgraf/Learning-Market-Making/results/revision_v19/synthetic_rough_heston__mechanism_economic_dense/dqn__mechanism_economic_dense_seed1618,synthetic_rough_heston__mechanism_economic_dense,Synthetic,dqn,1618,300,100,-31.82313417766181,2.5283170336701,1.260125966607747,34.35145121133191,33.08326014426956,1.268191067062353,17.138660648890905,7.464423585434755,4.338660723055235,3.3620708334247276
