phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.04053049548537532,0.14870000000000017,0.004647461724567653,0.031284999999999605,ddpg,MSFT,811
clob,0.1397889454906549,0.1584176567053179,0.040677711884277976,0.04941810257720544,ddpg,MSFT,811
auction,0.03857602760879722,0.16580000000000122,0.0031709845323197807,0.03822399999999988,ddpg,MSFT,99
clob,0.12152683851583776,0.1444440127528777,0.031041133674904905,0.03944850958341568,ddpg,MSFT,99
auction,0.0200981517316226,0.102,0.0009211504556932336,0.014612000000000003,ddpg,PG,123
clob,0.07181912571175998,0.08275845135469816,0.011567542557879493,0.013109498244200563,ddpg,PG,123
auction,0.021096119920905907,0.10229999999999972,0.0009845178648607295,0.01453699999999988,ddpg,PG,1618
clob,0.07169381505673866,0.08323989099356151,0.010199406650738372,0.01202479611090425,ddpg,PG,1618
auction,0.026766947605388985,0.09840000000000014,0.002581092044247952,0.014641999999999886,ddpg,PG,2024
clob,0.08563250955011871,0.09649882537496332,0.01705404317617936,0.01856469040408732,ddpg,PG,2024
auction,0.023028214518762437,0.1088000000000012,0.0011612810684038107,0.017088000000000214,ddpg,PG,2718
clob,0.07473830922782221,0.08814279680138219,0.010843284256545684,0.013506078323855192,ddpg,PG,2718
auction,0.02272421817981307,0.09329999999999938,0.0011769101172465343,0.013556999999999922,ddpg,PG,314
clob,0.07302205094257214,0.08441211251245177,0.011125611706215018,0.012964663539321818,ddpg,PG,314
auction,0.023148583577783027,0.09049999999999965,0.0013280148677689623,0.011614999999999868,ddpg,PG,42
clob,0.07669716301580351,0.08753044403831806,0.011957604842045664,0.014124495029695226,ddpg,PG,42
auction,0.019463480862018056,0.09959999999999933,0.0007820144543085423,0.013545999999999699,ddpg,PG,577
clob,0.07274525694424971,0.0829781736938369,0.011299605693445021,0.01273740610239455,ddpg,PG,577
auction,0.02247725301992252,0.0824999999999994,0.0012328767593272841,0.009864999999999801,ddpg,PG,7
clob,0.06915918447734958,0.08063597502741679,0.00964729094784925,0.011747037459383516,ddpg,PG,7
auction,0.022669675054156867,0.0980000000000005,0.0012020306207478832,0.014021999999999969,ddpg,PG,811
clob,0.08253491000618406,0.09252340187481656,0.015120044458332876,0.016513474918843928,ddpg,PG,811
auction,0.022710725861651793,0.08919999999999983,0.0010582417024543505,0.011811999999999934,ddpg,PG,99
clob,0.07156139505299808,0.08311827148647004,0.010231058697983247,0.012126459074579979,ddpg,PG,99
auction,0.032311786848446294,0.10459999999999947,0.0023425494193744885,0.021089999999999772,dqn,CAT,123
clob,0.10583728721758788,0.12735644915283018,0.025828832623632655,0.031197350625564765,dqn,CAT,123
auction,0.030562176044597746,0.11469999999999896,0.001996004583089593,0.022668999999999658,dqn,CAT,1618
clob,0.10985720536349008,0.12905078514394813,0.0263589521394016,0.03139957118898925,dqn,CAT,1618
auction,0.039294466221668004,0.11049999999999922,0.00496545837033909,0.023046999999999776,dqn,CAT,2024
clob,0.12090002358391937,0.13839780376131966,0.03167788296129906,0.036336105315557005,dqn,CAT,2024
auction,0.03653968297460514,0.1334999999999999,0.003119981061467626,0.03207299999999999,dqn,CAT,2718
clob,0.12869905323664127,0.1487695411350469,0.036097886999696335,0.0413561731778519,dqn,CAT,2718
auction,0.03186571083617469,0.1266999999999983,0.002450805121202734,0.027676999999999678,dqn,CAT,314
clob,0.11403322558091399,0.13279326761976873,0.030408672140001133,0.03492238293463191,dqn,CAT,314
auction,0.02770591473271838,0.1199999999999994,0.001621725497706718,0.023211999999999667,dqn,CAT,42
clob,0.10734738729516816,0.12459629107500872,0.024702204458553246,0.028971913488019006,dqn,CAT,42
auction,0.03086185795809579,0.11829999999999824,0.0021063289924971324,0.02595499999999966,dqn,CAT,577
clob,0.10866646628125261,0.13053249880552154,0.02635407499519528,0.03219611357980537,dqn,CAT,577
auction,0.03222398985601736,0.12589999999999787,0.0023542077137726995,0.029092999999999248,dqn,CAT,7
clob,0.10366833594218275,0.12335590732527896,0.023703549223269168,0.028274210873712652,dqn,CAT,7
auction,0.03394338862929973,0.1351999999999992,0.002452070798876491,0.03264799999999976,dqn,CAT,811
