phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
auction,0.03756683352763311,0.13580000000000136,0.0035871011604431983,0.026800000000000636,sac,JPM,2024
clob,0.12725753479197421,0.14158912012575883,0.031280261475134116,0.034089869661835005,sac,JPM,2024
auction,0.03513426949396182,0.15930000000000175,0.0024927815536328847,0.03463900000000062,sac,JPM,2718
clob,0.11653762414511874,0.13874858527149908,0.02438012526165796,0.030142082495807188,sac,JPM,2718
auction,0.03158887979654711,0.14140000000000139,0.002102224327098242,0.026852000000000622,sac,JPM,314
clob,0.1087592142421335,0.12875817418077448,0.021675052852561758,0.026398135957541057,sac,JPM,314
auction,0.031529094806457776,0.14480000000000198,0.0020972142936919137,0.025528000000000793,sac,JPM,42
clob,0.11666192091539213,0.13351929622929146,0.024512598724127997,0.028904302960540234,sac,JPM,42
auction,0.035036800341740545,0.14520000000000122,0.003613774279174453,0.02827400000000045,sac,JPM,577
clob,0.11452516945160951,0.1300739913376229,0.02441995432548483,0.028010576946358574,sac,JPM,577
auction,0.032819387239166116,0.14720000000000052,0.0023684242647718863,0.030200000000000327,sac,JPM,7
clob,0.11194084928593001,0.13262290208918773,0.022079635901854994,0.02758560516318214,sac,JPM,7
auction,0.03506047726850502,0.1519000000000011,0.0028046822763020574,0.030547000000000477,sac,JPM,811
clob,0.12933539700674548,0.14593733982486895,0.03118447622368842,0.03495047228092252,sac,JPM,811
auction,0.03544994288371179,0.1527000000000015,0.002472099849896676,0.030109000000000684,sac,JPM,99
clob,0.1139124862453778,0.13324809035242371,0.022978910636474267,0.028293848695067996,sac,JPM,99
auction,0.03852583415066174,0.17059999999999914,0.0034327852843175754,0.03887599999999933,sac,MSFT,123
clob,0.11978012882621503,0.14131414768611372,0.031203534043988693,0.039127811880869674,sac,MSFT,123
auction,0.036253772240663985,0.16840000000000027,0.003155047184469263,0.037249999999999894,sac,MSFT,1618
clob,0.1275207594959009,0.14844950080349023,0.03342610889934,0.04140738238301659,sac,MSFT,1618
auction,0.03754535483475935,0.1527000000000005,0.0038019655570959866,0.03364099999999983,sac,MSFT,2024
clob,0.12469320035512417,0.1445857365970756,0.03325618076866993,0.04076762854241773,sac,MSFT,2024
auction,0.04194164688929475,0.16310000000000183,0.004849348847570625,0.03563700000000034,sac,MSFT,2718
clob,0.13281114786275328,0.15672487348842407,0.036538075504152175,0.046675818110483054,sac,MSFT,2718
auction,0.04171481246403094,0.145100000000001,0.004721483788350163,0.03026099999999984,sac,MSFT,314
clob,0.1203469152223027,0.1422894283979387,0.03027014239648125,0.039108293362893065,sac,MSFT,314
auction,0.043621020278059704,0.15749999999999983,0.004623379298814681,0.03410499999999931,sac,MSFT,42
clob,0.12130200580235201,0.14272572318465554,0.03100788395187792,0.03977193616890097,sac,MSFT,42
auction,0.03649541523212034,0.16980000000000015,0.004273571094492572,0.03994199999999968,sac,MSFT,577
clob,0.11504914258245437,0.13858891101998722,0.030022417773031006,0.038730534160859975,sac,MSFT,577
