phase,h_ae,mid_ae,h_se,mid_se,algorithm,market,seed
clob,0.06897207966897785,0.08048872593949989,0.009620781539887506,0.011713562721907458,ddpg,PG,7
auction,0.022825995535161278,0.09820000000000047,0.0012031604573559907,0.013979999999999944,ddpg,PG,811
clob,0.08244771443324327,0.09234204266692764,0.015073899978340459,0.01646184265306738,ddpg,PG,811
auction,0.022515477078524936,0.087,0.0010276979391734325,0.011371999999999967,ddpg,PG,99
clob,0.07068173327421146,0.08216220070425857,0.010014139667049298,0.011882771337381139,ddpg,PG,99
auction,0.03313749519335051,0.10379999999999892,0.0025390792144898765,0.020645999999999533,dqn,CAT,123
clob,0.10624033610662387,0.12718595539940986,0.026101487591952962,0.031239124863103346,dqn,CAT,123
auction,0.03118137948865085,0.11489999999999878,0.002060973197708354,0.02259099999999962,dqn,CAT,1618
clob,0.11024790853934667,0.12920804953136927,0.02652848944119812,0.031509265276344865,dqn,CAT,1618
auction,0.037299280526091404,0.10859999999999882,0.003330785370682124,0.022827999999999685,dqn,CAT,2024
clob,0.12103183190305174,0.13800607641351856,0.03188374270409044,0.03638113599425042,dqn,CAT,2024
auction,0.03718107462777113,0.13419999999999999,0.0032126827536540933,0.03229199999999997,dqn,CAT,2718
clob,0.12984130535430521,0.14994150805384016,0.03665107076918308,0.04197281905933264,dqn,CAT,2718
auction,0.03219108753062455,0.12629999999999794,0.0024796056562293722,0.027660999999999644,dqn,CAT,314
clob,0.11522018637134027,0.13348713578177546,0.030925659584565623,0.03532862197282157,dqn,CAT,314
auction,0.02786957293577949,0.11939999999999923,0.001648429001644938,0.023229999999999654,dqn,CAT,42
clob,0.10727290586298313,0.12437746261664533,0.024779495706787964,0.029005559706176846,dqn,CAT,42
auction,0.031156947159209945,0.11809999999999814,0.0021671035157109194,0.02593299999999963,dqn,CAT,577
clob,0.10887542557911127,0.13059554629559242,0.026370530314345407,0.032192311205973295,dqn,CAT,577
auction,0.034648699775637185,0.12469999999999797,0.0036840255227995646,0.02859499999999928,dqn,CAT,7
clob,0.10286394062320639,0.12250548028188858,0.023200628483734186,0.02780729212687993,dqn,CAT,7
auction,0.03444966003768174,0.13439999999999952,0.002553759075801019,0.03244599999999989,dqn,CAT,811
clob,0.11603317676678872,0.13298630327558494,0.028977004095029922,0.03315813211805589,dqn,CAT,811
auction,0.034019810148374366,0.11379999999999807,0.0024654118372240165,0.021769999999999436,dqn,CAT,99
clob,0.11039321643431568,0.12724571538527107,0.02613951014481383,0.03077219581919571,dqn,CAT,99
auction,0.02920095696761557,0.10110000000000081,0.0027792296671715288,0.017027000000000188,dqn,GOOGL,123
clob,0.07786232099314304,0.09688000821618133,0.013186365635479789,0.01732154717009507,dqn,GOOGL,123
auction,0.025373988452226843,0.10250000000000097,0.0014865977261440003,0.015247000000000167,dqn,GOOGL,1618
clob,0.07571002967887443,0.0942747059070223,0.01053854711637341,0.014976960560221107,dqn,GOOGL,1618
auction,0.03171872418259741,0.11240000000000105,0.002570563948655859,0.02134600000000028,dqn,GOOGL,2024
clob,0.09305168790691322,0.11116971316635955,0.018577590633748912,0.022836105660627513,dqn,GOOGL,2024
auction,0.02629974654168548,0.1211000000000011,0.0017508841945828866,0.022881000000000314,dqn,GOOGL,2718
clob,0.08687568620991198,0.10556239813988036,0.013538703580072437,0.018553840466184402,dqn,GOOGL,2718
auction,0.024049004280367717,0.09140000000000124,0.0012566756558189418,0.014618000000000369,dqn,GOOGL,314
clob,0.07561566244792038,0.09555952209956667,0.010242557801761342,0.015341278819696276,dqn,GOOGL,314
auction,0.024573596403781567,0.09000000000000039,0.0014362567385467408,0.01219600000000003,dqn,GOOGL,42
clob,0.08089879889820768,0.09746485858990615,0.013621239552960497,0.01773584222085636,dqn,GOOGL,42
auction,0.027875485472220105,0.09700000000000085,0.003207928827773939,0.015432000000000123,dqn,GOOGL,577
clob,0.07507280295279858,0.0931519836648438,0.01057976308474901,0.014730401220741884,dqn,GOOGL,577
auction,0.026275267077800746,0.10360000000000139,0.0028554900206943915,0.015870000000000387,dqn,GOOGL,7
clob,0.0732572211681205,0.09191589602644216,0.009743434149478458,0.014184830850042232,dqn,GOOGL,7
auction,0.027851567581074023,0.10310000000000055,0.0029167857415618305,0.01850100000000016,dqn,GOOGL,811
clob,0.08763685354320865,0.10603421244509756,0.016864008895593457,0.021375205217595325,dqn,GOOGL,811
auction,0.027548310360424502,0.10360000000000039,0.0016007254928015401,0.01781400000000007,dqn,GOOGL,99
clob,0.07818819919933852,0.09645255581096299,0.010905212962449173,0.015402458700536923,dqn,GOOGL,99
auction,0.03357632301369085,0.1469000000000015,0.0029185981361682656,0.028625000000000584,dqn,JPM,123
clob,0.11282507457339451,0.12917748749739974,0.024083505411143166,0.02813564749774725,dqn,JPM,123
auction,0.033805908379360525,0.14000000000000123,0.0023835286316753563,0.026194000000000564,dqn,JPM,1618
clob,0.11533661062118455,0.13211447750073058,0.024074359479449213,0.02804888715670499,dqn,JPM,1618
auction,0.040653969953552825,0.1346000000000006,0.004613226446858475,0.02673200000000029,dqn,JPM,2024
clob,0.12534417223547606,0.1400820740414974,0.029803394497895958,0.033010379799367946,dqn,JPM,2024
auction,0.03556340368272328,0.16080000000000136,0.0025833701833927174,0.03537800000000057,dqn,JPM,2718
clob,0.11783618677266502,0.13976738854241275,0.025102300090252015,0.030949417356353086,dqn,JPM,2718
auction,0.03227803050132215,0.143700000000001,0.0021131465736685777,0.027905000000000468,dqn,JPM,314
clob,0.10987344224942719,0.1299051007951953,0.022256287089680957,0.027055750707504413,dqn,JPM,314
auction,0.032882457057376524,0.14510000000000145,0.0023601629553729447,0.02581900000000054,dqn,JPM,42
clob,0.11648006527420861,0.13374290276914794,0.024480683931222855,0.029060919831904963,dqn,JPM,42
auction,0.035716142300198456,0.14430000000000118,0.00407689759672084,0.028083000000000472,dqn,JPM,577
clob,0.11505270179303234,0.130350813358545,0.024684816451150237,0.02828737616213967,dqn,JPM,577
auction,0.034004584932854756,0.14960000000000032,0.0033830961561325873,0.031192000000000452,dqn,JPM,7
clob,0.11167086159657721,0.13267370689554375,0.02169719155733076,0.027439250812031593,dqn,JPM,7
auction,0.035028864134020905,0.15580000000000194,0.003079368796257329,0.03201600000000087,dqn,JPM,811
clob,0.133053262784335,0.1498160868774515,0.03429058862506304,0.03788796471736508,dqn,JPM,811
auction,0.03662686335334165,0.15400000000000116,0.0025786416566002364,0.030574000000000708,dqn,JPM,99
clob,0.11615038490909414,0.13486781183486873,0.02405210524579362,0.02924974589957758,dqn,JPM,99
auction,0.0391822419193713,0.17089999999999972,0.0035200581614169167,0.039006999999999396,dqn,MSFT,123
clob,0.11953380209442413,0.1410714929356142,0.030857374509370955,0.03884672370188926,dqn,MSFT,123
auction,0.038034402017662214,0.16910000000000106,0.003578113132736495,0.037701000000000026,dqn,MSFT,1618
clob,0.12869693513078087,0.14941327950227642,0.03411334800480795,0.04205983406932093,dqn,MSFT,1618
auction,0.03926028534834613,0.15450000000000041,0.004564819667785445,0.03504099999999957,dqn,MSFT,2024
clob,0.12283037861298225,0.14310902435310008,0.031866088894811656,0.03973114563646544,dqn,MSFT,2024
auction,0.04412767986918151,0.1591000000000022,0.00493145253589555,0.03456700000000043,dqn,MSFT,2718
clob,0.1355021805215701,0.15851319806554617,0.03825714078224588,0.048321153632218936,dqn,MSFT,2718
auction,0.04158640493571493,0.14630000000000076,0.004693765974482591,0.030958999999999813,dqn,MSFT,314
clob,0.12140309508369773,0.14319240137278239,0.030738634609033016,0.039625151715650724,dqn,MSFT,314
auction,0.04204485813168441,0.15870000000000029,0.004310645743245192,0.03478499999999956,dqn,MSFT,42
clob,0.11955260646331636,0.1414340695760736,0.030303055128074546,0.03905910770540017,dqn,MSFT,42
auction,0.03641431354648219,0.16960000000000075,0.004337724122034304,0.04022799999999975,dqn,MSFT,577
clob,0.11664625060583847,0.1399932082179795,0.03067085689085195,0.03941441785658454,dqn,MSFT,577
auction,0.052110958797370245,0.14400000000000074,0.008033761355544232,0.030951999999999934,dqn,MSFT,7
clob,0.1372082913500801,0.1581391673543617,0.040981041096331806,0.0505549474621703,dqn,MSFT,7
auction,0.0443461192730505,0.14740000000000092,0.005740606590291084,0.031471999999999854,dqn,MSFT,811
clob,0.1464263793458369,0.16393621202597128,0.04462441621565371,0.05319531855750168,dqn,MSFT,811
auction,0.03921951958809157,0.16279999999999997,0.00322418001681809,0.037547999999999644,dqn,MSFT,99
clob,0.12486294434132712,0.14704200293078384,0.033148206394790686,0.0411878455592972,dqn,MSFT,99
auction,0.02213301869381703,0.10089999999999985,0.0010549921361426694,0.014362999999999975,dqn,PG,123
clob,0.07186518874811325,0.08283885707057026,0.01144159868168182,0.013011272380231862,dqn,PG,123
auction,0.021844179787873137,0.10349999999999905,0.0010293347499660307,0.015052999999999747,dqn,PG,1618
clob,0.07287928421020644,0.08440804404881379,0.010625588526508013,0.012471055478086319,dqn,PG,1618
auction,0.02822831621065959,0.09810000000000056,0.002848243490234612,0.014770999999999989,dqn,PG,2024
clob,0.0853522531091245,0.09601736762906896,0.016857489392970434,0.018407258340124067,dqn,PG,2024
auction,0.023232875264686967,0.10830000000000052,0.0011896754552479926,0.01719700000000016,dqn,PG,2718
clob,0.07338145257933616,0.08705000447030463,0.01049287454507624,0.013316006026627183,dqn,PG,2718
auction,0.023149487302082168,0.09359999999999982,0.001197374944537594,0.013567999999999964,dqn,PG,314
clob,0.07369038103019286,0.08491864930643662,0.011301469474465087,0.013133931534991997,dqn,PG,314
auction,0.02285307588997715,0.08799999999999965,0.0012648427657435343,0.011031999999999802,dqn,PG,42
clob,0.07501772669209479,0.08663716490281688,0.011730544904965626,0.014028547473383578,dqn,PG,42
auction,0.02035820643940889,0.0984999999999992,0.0008643155764635375,0.013522999999999792,dqn,PG,577
clob,0.07370898675831092,0.08387734889634185,0.011755791238400735,0.013204601688109835,dqn,PG,577
auction,0.024732053584339622,0.08260000000000002,0.0023971131973059604,0.009957999999999932,dqn,PG,7
clob,0.06891801233993042,0.08042872113019085,0.009373953716548417,0.011507487404655292,dqn,PG,7
auction,0.023724834412459136,0.10510000000000044,0.0013000982031704516,0.015729000000000003,dqn,PG,811
clob,0.08758677821637433,0.09765227196461446,0.017099998344648412,0.018481679921696977,dqn,PG,811
auction,0.023288480810963325,0.08830000000000023,0.0010961270168540831,0.011571000000000048,dqn,PG,99
clob,0.07215143589758838,0.08330379045245918,0.010411108375991008,0.012240664026561973,dqn,PG,99
auction,0.03252906538327222,0.10449999999999872,0.0024288634640267457,0.02043099999999963,sac,CAT,123
clob,0.1059593216530832,0.12701775394288942,0.02584930736553024,0.031067006168255366,sac,CAT,123
auction,0.03113423847565203,0.1138999999999994,0.002016011501391145,0.021914999999999785,sac,CAT,1618
clob,0.1098544149794372,0.1286696935624532,0.026409673867327985,0.03128708843803693,sac,CAT,1618
auction,0.03760572796455607,0.10899999999999803,0.003854741409609234,0.022145999999999444,sac,CAT,2024
clob,0.12036566902641845,0.13745103310582382,0.03134133561196514,0.03588014198330864,sac,CAT,2024
auction,0.035686731934704306,0.13160000000000008,0.003041845543557565,0.03126799999999997,sac,CAT,2718
clob,0.12798975728626197,0.14781049081848002,0.03567513523013571,0.04079742140600152,sac,CAT,2718
auction,0.0319241080939013,0.12489999999999793,0.002348718550229947,0.0271369999999996,sac,CAT,314
clob,0.11395898563086901,0.13256520794723203,0.03025535252312109,0.03471707320343491,sac,CAT,314
auction,0.02921270339910801,0.12049999999999894,0.001873576066745773,0.022954999999999587,sac,CAT,42
clob,0.1082435553627797,0.12519426263091077,0.024909896515815367,0.029127336342414666,sac,CAT,42
auction,0.03176871911156363,0.11939999999999866,0.002209061963313577,0.025811999999999655,sac,CAT,577
clob,0.10938746569692528,0.13034851960480212,0.026401646562154366,0.03208167039194196,sac,CAT,577
auction,0.03298620423327479,0.123099999999998,0.0024228292427809026,0.027548999999999508,sac,CAT,7
clob,0.10414715267815922,0.12340864046544214,0.02389692677593687,0.028292356968407407,sac,CAT,7
auction,0.034399570204719586,0.13299999999999923,0.002480228719678766,0.03155199999999968,sac,CAT,811
