setting,policy,env_seed,pnl,objective,auction_qty
historical,as,1308515861,38.824259186523705,38.373215557309976,0.0
historical,as,1653866202,45.915892438262745,45.641319450863946,0.0
historical,as,315460509,43.781932067218804,43.68238919019578,0.0
historical,as,69600642,32.26923402815373,-36.76749311801724,0.0
historical,as,1413601158,5.044969016393225,4.672351359731962,0.0
historical,twap,571620923,1.2048998133614077,-16.211924217554273,0.0
historical,twap,1854563839,20.249999999996362,20.249999999996362,0.0
historical,twap,1583303502,-0.1499999999978172,-0.1499999999978172,0.0
historical,twap,1973187632,0.3179662918410031,0.11273460014224235,0.0
historical,twap,426150381,19.299999999999272,11.299999999999272,0.0
historical,twap,786966776,14.731704575075128,11.932943063657781,0.0
historical,twap,153620692,3.3190348236239515,3.3183712650439663,3.9635703807325595
historical,twap,318928945,1.2999999999974534,-0.7000000000025466,0.0
historical,twap,1322634316,19.87623481501396,19.76327801153533,0.0
historical,twap,262845664,19.30000000000109,19.30000000000109,0.0
historical,twap,1776312543,-33.04999999999927,-33.04999999999927,0.0
historical,twap,41087437,1.250000000001819,1.250000000001819,0.0
historical,twap,595352142,0.9744252873588266,0.6888484278001064,0.24425287356322656
historical,twap,275629747,-33.05000000000473,-33.05000000000473,0.0
historical,twap,348778394,19.799999999999272,19.799999999999272,0.0
historical,twap,327072471,-1.0823955714349722,-56.22323965395816,0.0
historical,twap,116913155,21.5,21.0,0.0
historical,twap,1944279313,18.100000000000364,18.100000000000364,0.0
historical,twap,350985218,-34.30000000000291,-34.80000000000291,0.0
historical,twap,776870983,14.899999999995998,12.899999999995998,0.0
historical,twap,769220178,0.2999999999974534,0.2999999999974534,0.0
historical,twap,1535564132,17.750000000003638,16.481824417013303,0.4074074074074474
historical,twap,1471500935,15.257073908325765,15.001725562318661,0.2853695416411303
historical,twap,433718991,-0.3639734384851181,-0.3645635765682194,2.930872885491134
historical,twap,51839939,15.44999999999709,15.44999999999709,0.0
historical,twap,203252677,-33.400000000001455,-33.400000000001455,0.0
historical,twap,1449455949,-34.74999999999636,-34.74999999999636,0.0
historical,twap,1532703018,0.9500000000025466,0.9500000000025466,0.0
historical,twap,114462228,-33.350000000000364,-33.850000000000364,0.0
historical,twap,686530427,-0.5999999999985448,-0.5999999999985448,0.0
historical,twap,312725689,16.900000000001455,16.900000000001455,0.0
historical,twap,1989546218,19.016478962448673,-4.343571476311649,0.0
historical,twap,346876782,-31.399999999997817,-43.89999999999782,0.0
historical,twap,469030513,16.00000000000182,8.000000000001819,0.0
historical,twap,1387327264,18.100000000002183,18.100000000002183,0.0
historical,twap,441062544,17.500000000003638,17.500000000003638,0.0
historical,twap,211057610,17.500000000003638,17.000000000003638,0.0
historical,twap,2130954212,19.94999999999891,19.94999999999891,0.0
historical,twap,1455161373,15.006626506021348,14.749677021335588,0.28313253012044015
historical,twap,448875740,-33.43979841705732,-37.08291614511882,0.0
historical,twap,1290694244,20.799999999997453,20.299999999997453,0.0
historical,twap,1970939311,1.9500000000025466,1.9500000000025466,2.0
historical,twap,2032328172,17.700000000000728,13.200000000000728,0.0
historical,twap,1356969079,-33.89685128117526,-34.335859790703225,0.0
historical,twap,168383381,-32.99999999999818,-32.99999999999818,0.0
historical,twap,1106079783,14.849999999998545,14.849999999998545,0.0
historical,twap,1915261509,20.049999999997453,20.049999999997453,0.0
