calibration,reserve,schedule,alpha,beta,depth_scale,seed,inventory_open,auction_fill,inventory_final,pnl,objective,shaped_return,interim_credit,clearing_displacement,k_star,q,lambda_inv
penny_b10,20,last10,0.01,0.1,10.0,1050297464.25,20.396222864227127,2.9251694660891,17.471053398138025,5.686958224984892,-147.43265161622332,170.9825959766991,320.50540000000916,-0.053749999999997286,10000.0,,
penny_b10,20,noop,0.01,0.1,10.0,1050297464.25,20.396222864227127,0.0,20.396222864227127,5.87116495878081,-202.17131640722158,-204.26146881430836,0.0,-0.05062499999999657,10000.0,,
penny_b20,0,all,0.01,0.2,10.0,1050297464.25,0.6446405469345726,17.955299161109153,-17.31065861417458,0.08162548548125415,-176.368011397146,1743.8225458232607,1923.2666377713876,-0.06874999999999874,10000.0,,
penny_b20,0,last1,0.01,0.2,10.0,1050297464.25,0.6446405469345726,0.6272448430850173,0.017395703849555407,1.8425360256536578,1.8297470470723032,62.852066496093215,64.09840000000204,-0.05124999999999689,10000.0,,
penny_b20,0,last10,0.01,0.2,10.0,1050297464.25,0.6446405469345726,5.78122285493102,-5.136582307996448,1.4977241130731047,-13.346801581176305,624.5787178678615,641.0016000000188,-0.05624999999999678,10000.0,,
penny_b20,0,noop,0.01,0.2,10.0,1050297464.25,0.6446405469345726,0.0,0.6446405469345726,1.8748765917951005,1.6555257739729874,-1.4205547770082019,0.0,-0.05062499999999657,10000.0,,
penny_b20,10,all,0.01,0.2,10.0,1050297464.25,10.475072351594124,17.955299161109153,-7.480226809515031,2.0692027431829274,-52.19123779591639,1868.4881065763716,1923.2666377713876,-0.06874999999999874,10000.0,,
penny_b20,10,last1,0.01,0.2,10.0,1050297464.25,10.475072351594124,0.6272448430850173,9.847827508509106,3.830113283355672,-44.70134499311388,16.809761607788143,64.09840000000204,-0.05124999999999689,10000.0,,
penny_b20,10,last10,0.01,0.2,10.0,1050297464.25,10.475072351594124,5.78122285493102,4.693849496663103,3.485301370775119,-9.123797568195588,629.2905090327233,641.0016000000188,-0.05624999999999678,10000.0,,
penny_b20,10,noop,0.01,0.2,10.0,1050297464.25,10.475072351594124,0.0,10.475072351594124,3.8624538494968874,-51.04280768008432,-53.630101079184186,0.0,-0.05062499999999657,10000.0,,
penny_b20,20,all,0.01,0.2,10.0,1050297464.25,20.396222864227127,17.955299161109153,2.440923703117971,4.077913852467304,-25.43123229838521,1895.7452530659154,1923.2666377713876,-0.06874999999999874,10000.0,,
penny_b20,20,last1,0.01,0.2,10.0,1050297464.25,20.396222864227127,0.6272448430850173,19.768978021142107,5.838824392639481,-189.6081141433552,-127.59986655043994,64.09840000000204,-0.05124999999999689,10000.0,,
