market,policy,seed,n_episodes,objective_bps,pnl_bps,auction_edge_bps,auction_fees_bps,auction_cash_bps,auction_risk_relief_bps,auction_value_bps,open_abs_inventory_pct,close_abs_inventory_pct,short_probability_pct,gap_dqn_bps,gap_as_bps,gap_twap_bps,gap_initial_bps
JPM,dqn,2718,100,4.867404495884485,5.202751453925349,0.19464115565361825,0.03245999999999999,0.16218115565361832,-0.14095351656174043,0.021227639091877887,1.7355698720548687,3.7081180322947476,27.0,0.0,-0.08211181647660609,6.188945649367019,12.823086647062631
JPM,as,2718,100,4.949516312361089,9.720279685773475,0.010447859422678564,0.0,0.010447859422678564,0.010745655275301618,0.021193514697980184,15.22614120425229,15.190991980507356,0.0,0.08211181647660609,0.0,6.271057465843626,
JPM,twap,2718,100,-1.3215411534825356,5.299606024210916,0.014958830955780236,0.0,0.014958830955780236,0.03683236380488158,0.051791194760661824,24.314120813447158,24.24008877229309,0.0,-6.188945649367019,-6.271057465843626,0.0,
JPM,ddpg,2718,100,7.455157786555807,8.02428216135598,0.4624491619600199,0.006309999999999995,0.45613916196001986,0.2792953924859532,0.7354345544459732,4.08013538182059,4.8687865721691,32.0,2.5877532906713223,2.505641474194716,8.776698940038342,1.6755637168203328
JPM,td3,2718,100,7.6399147258771505,7.9313846204386955,0.39740395788263055,0.0030499999999999993,0.3943539578826305,0.1009592649188023,0.49531322280143286,2.5528725391635176,2.858485026181918,41.0,2.772510229992666,2.69039841351606,8.961455879359686,1.9814116599846952
JPM,sac,2718,100,7.361885403324323,7.809440413238161,0.35696597225560756,0.030750000000000003,0.3262159722556076,0.10643523533629967,0.43265120759190734,3.0805487226167405,4.6121849952449825,30.0,2.494480907439838,2.4123690909632325,8.68342655680686,1.5795431332211676
MSFT,dqn,7,100,0.8591433563388889,1.3976051028711072,0.0548316853327728,0.11962,-0.06478831466722718,0.022283435440046143,-0.04250487922718103,3.5149297500519867,3.820019158358796,17.0,0.0,3.199730232938914,8.564846697282148,100.32809643987459
MSFT,as,7,100,-2.3405868766000246,1.9399761546804983,0.008438213583095992,0.0,0.008438213583095992,0.030299707751149634,0.03873792133424563,14.705598224902921,14.612016813696034,0.0,-3.199730232938914,0.0,5.365116464343232,
MSFT,twap,7,100,-7.705703340943258,-2.329070271453529,0.012587358295179565,0.0,0.012587358295179565,0.06840009806841349,0.08098745636359306,22.319578676277555,22.17402540513095,0.0,-8.564846697282148,-5.365116464343232,0.0,
MSFT,ddpg,7,100,1.1995167172824934,2.281990026523109,0.7465476516494376,0.044109999999999996,0.7024376516494377,0.0750711591866942,0.7775088108361315,6.021459111015368,7.053115598918541,27.0,0.34037336094360454,3.5401035938825185,8.905220058225751,3.618818355890756
MSFT,td3,7,100,1.8090732840358053,2.8268171184779947,0.2992632654346383,0.014829999999999986,0.2844332654346383,0.5187328951614713,0.8031661605961095,7.774353179206401,6.807744068433286,24.0,0.9499299276969161,4.149660160635832,9.514776624979064,4.209390345341608
